a,b,c,d,relation,labels,predictions,binary_results,binary_random_results
Nassau,Bahamas,Havanna,Kuba,capital-common-countries,Kuba,Kuba,1,1
Nassau,Bahamas,Berlin,Tyskland,capital-common-countries,Tyskland,Berlin,0,0
Nassau,Bahamas,Aten,Grekland,capital-common-countries,Grekland,Santorini,0,1
Nassau,Bahamas,Jakarta,Indonesien,capital-common-countries,Indonesien,Bali,0,0
Nassau,Bahamas,Jerusalem,Israel,capital-common-countries,Israel,Israel,1,1
Nassau,Bahamas,Rom,Italien,capital-common-countries,Italien,Rom,0,1
Nassau,Bahamas,Tokyo,Japan,capital-common-countries,Japan,Japan,1,1
Nassau,Bahamas,Nairobi,Kenya,capital-common-countries,Kenya,Kenya,1,0
Nassau,Bahamas,Amsterdam,Nederländerna,capital-common-countries,Nederländerna,Miami,0,0
Nassau,Bahamas,Dodoma,Tanzania,capital-common-countries,Tanzania,Tanzania,1,1
Nassau,Bahamas,Bangkok,Thailand,capital-common-countries,Thailand,Kambodja,0,0
Nassau,Bahamas,Islamabad,Pakistan,capital-common-countries,Pakistan,Pakistan,1,1
Nassau,Bahamas,Abuja,Nigeria,capital-common-countries,Nigeria,Lagos,0,0
Nassau,Bahamas,Lima,Peru,capital-common-countries,Peru,Peru,1,1
Nassau,Bahamas,Manila,Filippinerna,capital-common-countries,Filippinerna,Filippinerna,1,1
Nassau,Bahamas,Köpenhamn,Danmark,capital-common-countries,Danmark,Sverige,0,1
Nassau,Bahamas,Oslo,Norge,capital-common-countries,Norge,Oslo,0,1
Nassau,Bahamas,Paris,Frankrike,capital-common-countries,Frankrike,Paris,0,0
Havanna,Kuba,Berlin,Tyskland,capital-common-countries,Tyskland,Berlin,0,0
